New York (Central Park), New York December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,31.5
200002,37.5
200003,47.4
200004,51.2
200005,63.8
200006,71.5
200007,72.6
200008,72.7
200009,66.2
200010,57.2
200011,45.5
200012,31.4
200101,33.9
200102,36.1
200103,39.9
200104,54.2
200105,63.8
200106,73.2
200107,73.4
200108,78.9
200109,67.9
200110,58.7
200111,52.9
200112,44.3
200201,40.2
200202,40.8
200203,44.4
200204,56.4
200205,60.9
200206,71.7
200207,79.0
200208,78.0
200209,70.5
200210,55.4
200211,46.3
200212,36.3
200301,27.8
200302,30.3
200303,43.4
200304,50.1
200305,58.9
200306,68.6
200307,76.0
200308,76.9
200309,68.2
200310,55.4
200311,50.3
200312,37.9
200401,25.0
200402,35.3
200403,43.8
200404,53.8
200405,65.4
200406,71.5
200407,74.8
200408,74.5
200409,69.6
200410,56.2
200411,48.4
200412,38.6
200501,31.6
200502,36.8
200503,39.7
200504,55.4
200505,59.2
200506,74.3
200507,77.8
200508,79.9
200509,73.5
200510,58.1
200511,49.9
200512,35.5
200601,41.1
200602,36.0
200603,43.3
200604,55.9
200605,63.3
200606,71.2
200607,78.2
200608,76.0
200609,66.8
200610,56.5
200611,52.2
200612,43.9
200701,37.7
200702,28.5
200703,42.5
200704,50.6
200705,65.5
200706,71.6
200707,75.2
200708,74.3
200709,70.5
200710,63.8
200711,45.7
200712,37.2
200801,36.8
200802,36.0
200803,42.9
200804,55.2
200805,60.3
200806,74.2
200807,78.7
200808,74.0
200809,69.1
200810,55.4
200811,46.1
200812,38.4
200901,28.2
200902,37.0
200903,42.7
200904,54.8
200905,62.9
200906,67.9
200907,73.1
200908,76.1
200909,66.8
200910,55.4
200911,51.6
200912,36.4
201001,33.0
201002,33.6
201003,48.7
201004,58.3
201005,65.7
201006,75.1
201007,81.8
201008,77.9
201009,71.5
201010,58.6
201011,48.3
201012,33.2
201101,30.1
201102,36.5
201103,42.8
201104,54.7
201105,64.9
201106,72.8
201107,80.7
201108,75.7
201109,70.5
201110,57.5
201111,52.3
201112,43.8
201201,37.8
201202,41.3
201203,51.4
201204,55.2
201205,65.6
201206,71.4
201207,79.2
201208,77.2
201209,69.3
201210,58.5
201211,44.3
201212,41.9
201301,35.5
201302,34.4
201303,40.6
201304,53.5
201305,63.2
201306,73.1
201307,80.3
201308,74.6
201309,67.9
201310,60.2
201311,45.3
201312,38.6
201401,28.7
201402,31.7
201403,37.7
201404,52.3
201405,64.0
201406,72.5
201407,76.2
201408,74.5
201409,69.7
201410,59.6
201411,45.3
201412,40.6
201501,30.0
201502,24.1
201503,38.1
201504,54.3
201505,68.5
201506,71.2
201507,78.8
201508,79.0
201509,74.4
201510,58.1
201511,52.8
201512,50.8
201601,34.5
201602,37.8
201603,48.9
201604,53.3
201605,62.8
201606,72.2
201607,78.7
201608,79.2
201609,71.8
201610,58.8
201611,49.8
201612,38.4
201701,38.1
201702,41.7
201703,39.2
201704,57.1
201705,61.1
201706,72.0
201707,76.8
201708,74.0
201709,70.5
201710,64.1
201711,46.7
201712,35.1
201801,31.8
201802,42.1
201803,40.2
201804,49.5
201805,66.9
201806,71.7
201807,77.6
201808,78.1
201809,70.7
201810,57.7
201811,44.4
201812,40.2
201901,32.6
201902,36.3
201903,41.8
201904,55.5
201905,62.2
201906,71.7
201907,79.6
201908,75.5
201909,70.4
201910,59.9
201911,43.9
201912,38.4
202001,39.2
202002,40.2
202003,48.0
202004,50.3
202005,60.3
202006,73.7
202007,80.0
202008,76.9
202009,68.8
202010,57.9
202011,53.0
202012,39.3
202101,34.8
202102,34.2
202103,45.9
202104,54.6
202105,62.9
202106,74.3
202107,76.0
202108,77.6
202109,70.3
202110,62.0
202111,46.3
202112,43.8
202201,30.4
202202,37.4
202203,45.3
202204,52.8
202205,64.0
202206,71.4
202207,79.6
202208,79.3
202209,69.5
202210,56.9
202211,50.9
202212,38.5
202301,43.5
202302,41.1
202303,44.7
202304,57.6
202305,62.7
202306,70.0
202307,79.1
202308,75.0
202309,69.4
202310,60.5
202311,46.7
202312,44.6
